HGNC ID	Approved symbol	NCBI Gene ID	Ensembl gene ID	pmid_count
HGNC:500	ANPEP	290	ENSG00000166825	140
HGNC:10990	SLC25A4	291	ENSG00000151729	140
HGNC:10991	SLC25A5	292	ENSG00000005022	148
HGNC:10992	SLC25A6	293	ENSG00000169100	110
HGNC:533	ANXA1	301	ENSG00000135046	322
HGNC:537	ANXA2	302	ENSG00000182718	495
HGNC:538	ANXA2P1	303		2
HGNC:539	ANXA2P2	304	ENSG00000231991	16
HGNC:540	ANXA2P3	305	ENSG00000216740	3
HGNC:541	ANXA3	306	ENSG00000138772	70
HGNC:542	ANXA4	307	ENSG00000196975	88
HGNC:543	ANXA5	308	ENSG00000164111	234
HGNC:544	ANXA6	309	ENSG00000197043	116
HGNC:545	ANXA7	310	ENSG00000138279	80
HGNC:535	ANXA11	311	ENSG00000122359	79
HGNC:536	ANXA13	312	ENSG00000104537	24
HGNC:548	AOAH	313	ENSG00000136250	19
HGNC:549	AOC2	314	ENSG00000131480	12
HGNC:553	AOX1	316	ENSG00000138356	40
HGNC:576	APAF1	317	ENSG00000120868	184
HGNC:8049	NUDT2	318	ENSG00000164978	26
HGNC:615	APOF	319	ENSG00000175336	24
HGNC:578	APBA1	320	ENSG00000107282	53
HGNC:579	APBA2	321	ENSG00000034053	55
HGNC:581	APBB1	322	ENSG00000166313	110
HGNC:582	APBB2	323	ENSG00000163697	33
HGNC:583	APC	324	ENSG00000134982	822
HGNC:584	APCS	325	ENSG00000132703	102
HGNC:360	AIRE	326	ENSG00000160224	189
HGNC:586	APEH	327	ENSG00000164062	39
HGNC:587	APEX1	328	ENSG00000100823	581
HGNC:590	BIRC2	329	ENSG00000110330	273
HGNC:591	BIRC3	330	ENSG00000023445	256
HGNC:592	XIAP	331	ENSG00000101966	541
HGNC:593	BIRC5	332	ENSG00000089685	1189
HGNC:597	APLP1	333	ENSG00000105290	55
HGNC:598	APLP2	334	ENSG00000084234	84
HGNC:600	APOA1	335	ENSG00000118137	972
HGNC:601	APOA2	336	ENSG00000158874	166
HGNC:602	APOA4	337	ENSG00000110244	200
HGNC:603	APOB	338	ENSG00000084674	785
HGNC:604	APOBEC1	339	ENSG00000111701	46
HGNC:607	APOC1	341	ENSG00000130208	184
HGNC:608	APOC1P1	342	ENSG00000214855	7
HGNC:642	AQP8	343	ENSG00000103375	63
HGNC:609	APOC2	344	ENSG00000234906	123
HGNC:610	APOC3	345	ENSG00000110245	398
HGNC:611	APOC4	346	ENSG00000267467	36
HGNC:612	APOD	347	ENSG00000189058	107
HGNC:613	APOE	348	ENSG00000130203	4300
HGNC:616	APOH	350	ENSG00000091583	233
HGNC:620	APP	351	ENSG00000142192	2552
HGNC:626	APRT	353	ENSG00000198931	69
HGNC:6364	KLK3	354	ENSG00000142515	430
HGNC:11920	FAS	355	ENSG00000026103	1165
HGNC:11936	FASLG	356	ENSG00000117560	652
HGNC:630	SHROOM2	357	ENSG00000146950	23
HGNC:633	AQP1	358	ENSG00000240583	307
HGNC:634	AQP2	359	ENSG00000167580	171
HGNC:636	AQP3	360	ENSG00000165272	174
HGNC:637	AQP4	361	ENSG00000171885	284
HGNC:638	AQP5	362	ENSG00000161798	148
HGNC:639	AQP6	363	ENSG00000086159	9
HGNC:640	AQP7	364	ENSG00000165269	59
HGNC:643	AQP9	366	ENSG00000103569	98
HGNC:644	AR	367	ENSG00000169083	2262
HGNC:57	ABCC6	368	ENSG00000091262	126
HGNC:646	ARAF	369	ENSG00000078061	88
HGNC:649	ARCN1	372	ENSG00000095139	74
HGNC:660	TRIM23	373	ENSG00000113595	43
HGNC:651	AREG	374	ENSG00000109321	181
HGNC:652	ARF1	375	ENSG00000143761	223
HGNC:654	ARF3	377	ENSG00000134287	59
HGNC:655	ARF4	378	ENSG00000168374	81
HGNC:656	ARL4D	379	ENSG00000175906	21
HGNC:657	ARF4P1	380	ENSG00000271525	1
HGNC:658	ARF5	381	ENSG00000004059	53
HGNC:659	ARF6	382	ENSG00000165527	231
HGNC:663	ARG1	383	ENSG00000118520	176
HGNC:664	ARG2	384		76
HGNC:667	RHOA	387	ENSG00000067560	941
HGNC:668	RHOB	388	ENSG00000143878	142
HGNC:669	RHOC	389	ENSG00000155366	161
HGNC:671	RND3	390	ENSG00000115963	67
HGNC:672	RHOG	391	ENSG00000177105	64
HGNC:673	ARHGAP1	392	ENSG00000175220	88
HGNC:674	ARHGAP4	393	ENSG00000089820	33
HGNC:675	ARHGAP5	394	ENSG00000100852	38
HGNC:676	ARHGAP6	395	ENSG00000047648	14
HGNC:678	ARHGDIA	396	ENSG00000141522	155
HGNC:679	ARHGDIB	397		87
HGNC:680	ARHGDIG	398	ENSG00000242173	18
HGNC:686	RHOH	399	ENSG00000168421	47
HGNC:692	ARL1	400	ENSG00000120805	53
HGNC:691	PHOX2A	401	ENSG00000165462	35
HGNC:693	ARL2	402	ENSG00000213465	53
HGNC:694	ARL3	403	ENSG00000138175	46
HGNC:700	ARNT	405	ENSG00000143437	256
HGNC:701	ARNTL	406	ENSG00000133794	164
HGNC:710	ARR3	407	ENSG00000120500	43
HGNC:711	ARRB1	408	ENSG00000137486	247
HGNC:712	ARRB2	409	ENSG00000141480	316
HGNC:713	ARSA	410	ENSG00000100299	125
HGNC:714	ARSB	411	ENSG00000113273	72
HGNC:11425	STS	412	ENSG00000101846	103
HGNC:716	ARSC2	413		2
HGNC:717	ARSD	414	ENSG00000006756	13
HGNC:719	ARSL	415	ENSG00000157399	25
HGNC:721	ARSF	416	ENSG00000062096	14
HGNC:723	ART1	417	ENSG00000129744	14
HGNC:724	ART2P	418	ENSG00000238048	4
HGNC:725	ART3	419	ENSG00000156219	24
HGNC:726	ART4	420	ENSG00000111339	25
HGNC:728	ARVCF	421	ENSG00000099889	45
HGNC:735	ASAH1	427	ENSG00000104763	94
HGNC:738	ASCL1	429	ENSG00000139352	94
HGNC:739	ASCL2	430	ENSG00000183734	37
HGNC:742	ASGR1	432	ENSG00000141505	63
HGNC:743	ASGR2	433	ENSG00000161944	45
HGNC:745	ASIP	434	ENSG00000101440	41
HGNC:746	ASL	435	ENSG00000126522	43
HGNC:747	ASLP1	436	ENSG00000244723	0
HGNC:750	ASMT	438	ENSG00000196433	33
HGNC:752	GET3	439		58
HGNC:753	ASNS	440	ENSG00000070669	87
HGNC:755	ASNSP2	442		1
HGNC:756	ASPA	443	ENSG00000108381	47
HGNC:757	ASPH	444	ENSG00000198363	76
HGNC:758	ASS1	445	ENSG00000130707	119
HGNC:765	ASS1P2	447	ENSG00000223922	2
HGNC:767	ASS1P4	449	ENSG00000213487	2
HGNC:768	ASS1P5	450	ENSG00000227881	1
HGNC:769	ASS1P6	451	ENSG00000215583	4
HGNC:771	ASS1P8	453	ENSG00000251418	3
HGNC:772	ASS1P9	454	ENSG00000217791	3
HGNC:760	ASS1P10	455	ENSG00000215325	2
HGNC:764	ASS1P14	459		2
HGNC:773	ASTN1	460	ENSG00000152092	13
HGNC:775	SERPINC1	462	ENSG00000117601	246
HGNC:777	ZFHX3	463	ENSG00000140836	89
HGNC:783	ATF1	466	ENSG00000123268	89
HGNC:785	ATF3	467	ENSG00000162772	234
HGNC:786	ATF4	468	ENSG00000128272	248
HGNC:789	ATF4P1	469	ENSG00000213338	3
HGNC:794	ATIC	471	ENSG00000138363	71
HGNC:795	ATM	472	ENSG00000149311	1232
HGNC:9965	RERE	473	ENSG00000142599	50
HGNC:797	ATOH1	474	ENSG00000172238	55
HGNC:798	ATOX1	475	ENSG00000177556	75
HGNC:799	ATP1A1	476	ENSG00000163399	221
HGNC:800	ATP1A2	477	ENSG00000018625	130
HGNC:801	ATP1A3	478	ENSG00000105409	101
HGNC:13816	ATP12A	479	ENSG00000075673	31
HGNC:14073	ATP1A4	480	ENSG00000132681	27
HGNC:804	ATP1B1	481	ENSG00000143153	105
HGNC:805	ATP1B2	482	ENSG00000129244	48
HGNC:806	ATP1B3	483	ENSG00000069849	47
HGNC:807	ATP1B3P1	484	ENSG00000271707	1
HGNC:809	ATP1B1P1	485	ENSG00000249212	2
HGNC:4026	FXYD2	486	ENSG00000137731	35
HGNC:811	ATP2A1	487	ENSG00000196296	71
HGNC:812	ATP2A2	488	ENSG00000174437	254
HGNC:813	ATP2A3	489	ENSG00000074370	53
HGNC:814	ATP2B1	490	ENSG00000070961	120
HGNC:815	ATP2B2	491	ENSG00000157087	68
HGNC:816	ATP2B3	492	ENSG00000067842	40
HGNC:817	ATP2B4	493	ENSG00000058668	112
HGNC:819	ATP4A	495	ENSG00000105675	31
HGNC:820	ATP4B	496	ENSG00000186009	28
HGNC:823	ATP5F1A	498	ENSG00000152234	194
HGNC:877	ALDH7A1	501	ENSG00000164904	70
HGNC:828	ATP5F1AP2	504	ENSG00000227682	1
HGNC:830	ATP5F1B	506	ENSG00000110955	178
HGNC:831	ATP5F1BP1	507	ENSG00000231635	3
HGNC:833	ATP5F1C	509	ENSG00000165629	96
HGNC:837	ATP5F1D	513	ENSG00000099624	36
HGNC:838	ATP5F1E	514	ENSG00000124172	30
HGNC:840	ATP5PB	515	ENSG00000116459	64
HGNC:841	ATP5MC1	516	ENSG00000159199	31
HGNC:842	ATP5MC2	517	ENSG00000135390	24
HGNC:843	ATP5MC3	518	ENSG00000154518	19
HGNC:844	ATP5MC2P1	520	ENSG00000225712	1
HGNC:846	ATP5ME	521	ENSG00000169020	35
HGNC:847	ATP5PF	522	ENSG00000154723	54
HGNC:851	ATP6V1A	523	ENSG00000114573	66
HGNC:853	ATP6V1B1	525	ENSG00000116039	73
HGNC:854	ATP6V1B2	526	ENSG00000147416	60
HGNC:855	ATP6V0C	527	ENSG00000185883	56
HGNC:856	ATP6V1C1	528	ENSG00000155097	43
HGNC:857	ATP6V1E1	529	ENSG00000131100	54
HGNC:861	ATP6V0B	533	ENSG00000117410	27
HGNC:862	ATP6V1G2	534	ENSG00000213760	34
HGNC:865	ATP6V0A1	535	ENSG00000033627	48
HGNC:868	ATP6AP1	537	ENSG00000071553	57
HGNC:869	ATP7A	538	ENSG00000165240	169
HGNC:850	ATP5PO	539	ENSG00000241837	80
HGNC:870	ATP7B	540	ENSG00000123191	304
HGNC:878	ALDH7A1P1	541	ENSG00000251400	2
HGNC:879	ALDH7A1P2	542	ENSG00000232292	1
HGNC:880	ALDH7A1P3	543	ENSG00000243853	1
HGNC:881	ALDH7A1P4	544	ENSG00000234489	2
HGNC:882	ATR	545	ENSG00000175054	490
HGNC:886	ATRX	546	ENSG00000085224	233
HGNC:888	KIF1A	547	ENSG00000130294	62
HGNC:890	AUH	549	ENSG00000148090	26
HGNC:891	AUP1	550	ENSG00000115307	48
HGNC:894	AVP	551	ENSG00000101200	272
HGNC:895	AVPR1A	552	ENSG00000166148	90
HGNC:896	AVPR1B	553	ENSG00000198049	42
HGNC:897	AVPR2	554	ENSG00000126895	144
HGNC:905	AXL	558	ENSG00000167601	278
HGNC:908	AZF1	560		53
HGNC:910	AZGP1	563	ENSG00000160862	126
HGNC:913	AZU1	566	ENSG00000172232	65
HGNC:914	B2M	567	ENSG00000166710	383
HGNC:915	B2MR	568		1
HGNC:932	BAAT	570	ENSG00000136881	24
HGNC:935	BACH1	571	ENSG00000156273	110
HGNC:936	BAD	572	ENSG00000002330	284
HGNC:937	BAG1	573	ENSG00000107262	173
HGNC:942	BAGE	574		10
HGNC:943	ADGRB1	575	ENSG00000181790	38
HGNC:944	ADGRB2	576	ENSG00000121753	21
HGNC:945	ADGRB3	577	ENSG00000135298	24
HGNC:949	BAK1	578	ENSG00000030110	320
HGNC:951	NKX3-2	579	ENSG00000109705	20
HGNC:952	BARD1	580	ENSG00000138376	226
HGNC:959	BAX	581	ENSG00000087088	996
HGNC:966	BBS1	582	ENSG00000174483	65
HGNC:967	BBS2	583	ENSG00000125124	49
HGNC:969	BBS4	585	ENSG00000140463	54
HGNC:976	BCAT1	586	ENSG00000060982	54
HGNC:977	BCAT2	587	ENSG00000105552	36
HGNC:983	BCHE	590	ENSG00000114200	240
HGNC:986	BCKDHA	593	ENSG00000248098	69
HGNC:987	BCKDHB	594	ENSG00000083123	52
HGNC:1582	CCND1	595	ENSG00000110092	1496
HGNC:990	BCL2	596	ENSG00000171791	1896
HGNC:991	BCL2A1	597	ENSG00000140379	90
HGNC:992	BCL2L1	598	ENSG00000171552	679
HGNC:995	BCL2L2	599	ENSG00000129473	104
HGNC:996	BAK1P1	600	ENSG00000175730	3
HGNC:997	BAK1P2	601	ENSG00000236616	1
HGNC:998	BCL3	602	ENSG00000069399	121
HGNC:1001	BCL6	604	ENSG00000113916	357
HGNC:1004	BCL7A	605	ENSG00000110987	27
HGNC:1007	NBEAP1	606	ENSG00000258590	6
HGNC:1008	BCL9	607	ENSG00000116128	56
HGNC:11913	TNFRSF17	608	ENSG00000048462	58
HGNC:4846	HCN2	610	ENSG00000099822	52
HGNC:1012	OPN1SW	611	ENSG00000128617	24
HGNC:1014	BCR	613	ENSG00000186716	430
HGNC:1017	BCRP4	616	ENSG00000215456	2
HGNC:1020	BCS1L	617	ENSG00000074582	47
HGNC:1022	BCYRN1	618	ENSG00000236824	19
HGNC:1023	BCYRN1P1	619		2
HGNC:1024	BCYRN1P2	620		2
HGNC:1027	BDH1	622	ENSG00000161267	25
HGNC:1029	BDKRB1	623	ENSG00000100739	101
HGNC:1030	BDKRB2	624	ENSG00000168398	210
HGNC:1033	BDNF	627	ENSG00000176697	1978
HGNC:1037	CFB	629	ENSG00000243649	183
HGNC:1040	BFSP1	631	ENSG00000125864	22
HGNC:1043	BGLAP	632	ENSG00000242252	239
